Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.116,0.091,0.101,0.344,0.124,0.108,0.054,0.049,0.172,0.077,0.168,0.18,0.622,0.323,0.048,0.051,0.212,0.218,0.422,0.082,0.172,0.125,0.048,0.047,0.124,0.136,0.238,0.131,0.153,0.081,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
0.25,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.12,0.093,0.103,0.363,0.129,0.111,0.054,0.049,0.176,0.077,0.17,0.186,0.675,0.338,0.048,0.051,0.22,0.223,0.453,0.082,0.18,0.128,0.048,0.047,0.125,0.139,0.255,0.134,0.161,0.081,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
0.5,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.122,0.094,0.106,0.388,0.133,0.113,0.052,0.049,0.184,0.077,0.173,0.192,0.737,0.363,0.047,0.051,0.231,0.231,0.496,0.082,0.19,0.133,0.048,0.047,0.128,0.144,0.273,0.137,0.168,0.081,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
0.75,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.124,0.095,0.108,0.415,0.138,0.116,0.052,0.049,0.193,0.077,0.179,0.198,0.796,0.387,0.047,0.051,0.243,0.241,0.532,0.082,0.202,0.136,0.048,0.047,0.132,0.15,0.294,0.142,0.178,0.082,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
1,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.048,0.127,0.097,0.111,0.445,0.143,0.119,0.052,0.049,0.204,0.077,0.189,0.207,0.864,0.415,0.047,0.051,0.255,0.256,0.582,0.082,0.215,0.141,0.048,0.047,0.136,0.159,0.314,0.147,0.188,0.082,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
1.25,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.131,0.098,0.114,0.478,0.149,0.123,0.052,0.049,0.214,0.077,0.198,0.216,0.927,0.44,0.047,0.051,0.269,0.269,0.628,0.082,0.228,0.147,0.048,0.047,0.143,0.169,0.335,0.153,0.199,0.083,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
1.5,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.134,0.101,0.116,0.511,0.155,0.126,0.052,0.049,0.226,0.077,0.208,0.229,0.992,0.475,0.047,0.051,0.286,0.286,0.671,0.082,0.239,0.153,0.048,0.047,0.149,0.176,0.355,0.16,0.21,0.084,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
1.75,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.138,0.103,0.119,0.545,0.162,0.13,0.052,0.049,0.237,0.077,0.218,0.241,1.064,0.503,0.047,0.051,0.305,0.305,0.72,0.082,0.252,0.158,0.048,0.047,0.155,0.186,0.377,0.166,0.22,0.084,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
2,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.048,0.143,0.105,0.123,0.579,0.168,0.134,0.052,0.049,0.249,0.077,0.232,0.255,1.133,0.538,0.047,0.051,0.323,0.326,0.768,0.082,0.265,0.164,0.048,0.047,0.162,0.195,0.4,0.172,0.233,0.084,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
2.25,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.147,0.107,0.127,0.613,0.175,0.138,0.052,0.049,0.261,0.077,0.246,0.269,1.202,0.574,0.048,0.051,0.342,0.345,0.817,0.082,0.277,0.171,0.048,0.047,0.167,0.203,0.424,0.181,0.244,0.085,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
2.5,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.152,0.11,0.131,0.647,0.182,0.142,0.052,0.049,0.272,0.078,0.257,0.283,1.272,0.609,0.047,0.051,0.361,0.367,0.869,0.082,0.292,0.177,0.048,0.047,0.173,0.212,0.447,0.187,0.256,0.085,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
2.75,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.157,0.113,0.134,0.683,0.188,0.147,0.052,0.049,0.284,0.078,0.268,0.297,1.341,0.646,0.047,0.051,0.381,0.389,0.921,0.082,0.306,0.183,0.048,0.047,0.178,0.222,0.475,0.193,0.267,0.085,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
3,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.162,0.116,0.139,0.721,0.197,0.151,0.052,0.049,0.296,0.078,0.279,0.313,1.412,0.683,0.047,0.051,0.4,0.41,0.978,0.082,0.321,0.189,0.048,0.047,0.185,0.232,0.5,0.201,0.281,0.086,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
3.25,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.167,0.118,0.142,0.755,0.203,0.155,0.052,0.049,0.308,0.077,0.288,0.326,1.474,0.722,0.047,0.051,0.42,0.431,1.044,0.082,0.337,0.197,0.048,0.047,0.191,0.241,0.528,0.209,0.293,0.086,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
3.5,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.048,0.171,0.121,0.147,0.789,0.21,0.16,0.052,0.049,0.321,0.077,0.303,0.341,1.531,0.76,0.047,0.051,0.44,0.451,1.102,0.082,0.353,0.203,0.048,0.047,0.197,0.251,0.56,0.216,0.307,0.087,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
3.75,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.176,0.123,0.151,0.822,0.216,0.164,0.052,0.049,0.333,0.077,0.318,0.356,1.584,0.801,0.047,0.051,0.461,0.473,1.168,0.082,0.368,0.211,0.048,0.047,0.203,0.261,0.59,0.224,0.321,0.087,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
4,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.181,0.126,0.155,0.856,0.224,0.169,0.052,0.049,0.344,0.077,0.33,0.372,1.63,0.836,0.047,0.051,0.48,0.495,1.23,0.082,0.383,0.217,0.048,0.047,0.21,0.273,0.623,0.233,0.335,0.087,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
4.25,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.186,0.128,0.159,0.887,0.231,0.173,0.052,0.049,0.355,0.078,0.342,0.386,1.669,0.874,0.047,0.051,0.5,0.514,1.286,0.082,0.401,0.225,0.048,0.047,0.216,0.284,0.656,0.241,0.348,0.087,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
4.5,0.048,0.047,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.192,0.13,0.163,0.919,0.237,0.177,0.051,0.049,0.367,0.077,0.355,0.402,1.707,0.915,0.047,0.051,0.52,0.536,1.34,0.082,0.416,0.232,0.048,0.047,0.223,0.295,0.694,0.249,0.363,0.087,0.048,0.048,0.048,0.048,0.048,0.047,0.048,0.052,0.049
